"","market","country","property_type","room_type","bed_type","minimum_nights","maximum_nights","cancellation_policy","number_of_reviews","bedrooms","beds","accommodates","price","security_deposit","bathrooms","cleaning_fee","guests_included","extra_people","reviews_per_month","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","review_scores_rating","host_is_superhost","host_neighbourhood","host_identity_verified"
"1","Istanbul","Turkey","House","Entire home/apt","Real Bed","2","1125","flexible",1,2,6,6,527,NA,1,211,1,211,NA,10,10,10,10,10,10,100,FALSE,"Moda",TRUE
"2","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","1","1125","flexible",0,1,1,2,701,1000,2,250,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Lagoa",FALSE
"3","Montreal","Canada","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,3,3,6,140,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Le Plateau",FALSE
"4","Porto","Portugal","House","Entire home/apt","Real Bed","2","30","moderate",51,3,5,8,80,200,1,35,6,15,NA,9,9,10,10,10,9,89,FALSE,"",TRUE
"5","Oahu","United States","Condominium","Entire home/apt","Real Bed","3","365","strict_14_with_grace_period",96,1,1,2,115,NA,1,100,1,0,NA,9,8,9,9,10,9,84,FALSE,"Waikiki",FALSE
"6","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","2","1125","flexible",0,1,2,4,317,NA,1,187,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Jardim Botânico",FALSE
"7","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","1","1125","strict_14_with_grace_period",0,1,1,2,361,NA,1,NA,2,130,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Jordan",FALSE
"8","New York","United States","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",5,0,2,4,205,NA,1,NA,1,0,NA,9,10,10,8,9,9,88,FALSE,"Greenpoint",FALSE
"9","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","3","75","strict_14_with_grace_period",70,1,3,4,119,600,2,150,3,40,NA,10,10,10,10,10,10,98,TRUE,"Copacabana",TRUE
"10","New York","United States","Apartment","Private room","Real Bed","14","1125","flexible",1,1,1,1,40,NA,1.5,NA,1,0,NA,10,10,10,10,8,8,100,FALSE,"Bushwick",TRUE
"11","Montreal","Canada","Apartment","Entire home/apt","Real Bed","2","1125","moderate",0,0,1,2,43,NA,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"12","Barcelona","Spain","Apartment","Private room","Real Bed","1","9","flexible",0,1,2,2,50,100,1,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Dreta de l'Eixample",FALSE
"13","New York","United States","Apartment","Private room","Real Bed","12","360","strict_14_with_grace_period",70,1,1,2,135,0,1,135,1,0,NA,10,9,10,10,10,10,94,TRUE,"",TRUE
"14","Montreal","Canada","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,1,2,4,50,NA,1,NA,1,31,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Mile End",FALSE
"15","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","4","20","flexible",3,1,2,3,699,NA,1,NA,1,0,NA,10,10,10,10,10,8,100,FALSE,"Soho",FALSE
"16","Porto","Portugal","Loft","Entire home/apt","Real Bed","2","1125","moderate",178,1,1,2,30,0,1,10,1,0,NA,10,10,10,10,10,10,97,TRUE,"",TRUE
"17","Rio De Janeiro","Brazil","House","Private room","Real Bed","2","1125","strict_14_with_grace_period",1,1,8,8,250,0,4,0,4,40,NA,10,6,8,8,8,8,80,FALSE,"Catete",TRUE
"18","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","15","20","strict_14_with_grace_period",0,2,2,5,858,4476,2,112,1,75,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"19","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,3,3,5,933,NA,1.5,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"20","Sydney","Australia","Apartment","Entire home/apt","Real Bed","2","30","moderate",109,1,1,2,185,800,1,120,1,0,NA,10,10,10,10,10,10,100,TRUE,"Darlinghurst",TRUE
"21","Istanbul","Turkey","Bed and breakfast","Private room","Real Bed","1","1125","moderate",29,1,2,3,121,NA,1,NA,1,0,NA,9,9,10,10,10,9,92,FALSE,"",TRUE
"22","New York","United States","Apartment","Entire home/apt","Real Bed","3","1125","flexible",0,1,1,3,150,200,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",TRUE
"23","Porto","Portugal","Hostel","Private room","Real Bed","1","1125","moderate",0,1,1,2,40,0,1,50,2,25,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",TRUE
"24","Istanbul","Turkey","Apartment","Private room","Pull-out Sofa","2","1125","flexible",27,1,1,2,58,0,1,0,1,60,NA,10,9,10,10,9,10,99,TRUE,"Taksim",TRUE
"25","Sydney","Australia","Apartment","Entire home/apt","Real Bed","10","21","strict_14_with_grace_period",64,0,1,2,181,300,1,50,1,0,NA,10,9,10,10,10,9,95,FALSE,"Surry Hills",TRUE
"26","Sydney","Australia","House","Entire home/apt","Real Bed","2","1125","moderate",0,1,1,2,250,400,2.5,150,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Lilyfield/Rozelle",FALSE
"27","New York","United States","Apartment","Private room","Real Bed","1","10","strict_14_with_grace_period",239,1,1,2,45,NA,1,NA,1,10,NA,10,10,10,10,9,10,95,TRUE,"Jamaica",TRUE
"28","Istanbul","Turkey","Serviced apartment","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",3,2,4,4,838,NA,1,NA,1,0,NA,7,7,8,8,10,7,67,FALSE,"Şişli",FALSE
"29","New York","United States","Apartment","Private room","Real Bed","2","1125","strict_14_with_grace_period",123,1,1,2,46,0,1,15,1,10,NA,10,10,10,10,9,10,99,TRUE,"Jackson Heights",TRUE
"30","New York","United States","Apartment","Entire home/apt","Real Bed","2","7","strict_14_with_grace_period",9,2,2,5,275,0,1,35,1,0,NA,9,8,10,9,9,9,90,FALSE,"",TRUE
"31","Hong Kong","Hong Kong","Guesthouse","Private room","Futon","1","500","strict_14_with_grace_period",81,1,1,1,181,0,1,50,1,100,NA,10,8,10,10,10,10,92,FALSE,"Shek Kip Mei",TRUE
"32","New York","United States","Apartment","Entire home/apt","Real Bed","2","1125","flexible",1,1,1,2,145,NA,1,60,1,0,NA,10,10,10,10,10,10,100,FALSE,"Chelsea",TRUE
"33","Porto","Portugal","Apartment","Entire home/apt","Real Bed","7","180","moderate",12,1,1,2,40,250,1,15,2,0,NA,10,10,10,10,9,10,96,FALSE,"",TRUE
"34","Istanbul","Turkey","Serviced apartment","Entire home/apt","Real Bed","1","1125","moderate",0,2,5,6,997,NA,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Şişli",FALSE
"35","The Big Island","United States","Apartment","Entire home/apt","Real Bed","7","7","strict_14_with_grace_period",1,2,3,6,135,200,2,NA,1,0,NA,10,8,10,10,10,10,100,FALSE,"Kailua/Kona",FALSE
"36","Istanbul","Turkey","Loft","Private room","Real Bed","1","1125","flexible",0,1,2,2,185,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"37","Sydney","Australia","Apartment","Entire home/apt","Real Bed","1","1125","moderate",61,0,1,2,117,0,1,0,1,20,NA,10,10,10,10,10,10,97,TRUE,"",FALSE
"38","Maui","United States","Condominium","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",1,1,2,4,499,NA,1,99,1,0,NA,10,10,10,8,10,10,100,FALSE,"Central Business District",TRUE
"39","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","1","500","strict_14_with_grace_period",9,1,1,2,330,NA,1,NA,1,0,NA,8,7,9,8,10,8,73,FALSE,"Mong Kok",TRUE
"40","New York","United States","Apartment","Entire home/apt","Real Bed","3","6","strict_14_with_grace_period",22,3,4,9,180,199,1,59,4,19,NA,10,9,10,10,9,9,95,FALSE,"East Harlem",TRUE
"41","Montreal","Canada","Apartment","Private room","Real Bed","2","120","strict_14_with_grace_period",62,1,1,1,34,0,1,25,1,10,NA,10,9,10,10,10,10,98,TRUE,"Mile End",TRUE
"42","Hong Kong","Hong Kong","Guesthouse","Private room","Real Bed","1","1125","moderate",162,1,1,2,487,0,1,NA,1,0,NA,10,10,10,10,9,9,96,TRUE,"",FALSE
"43","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","2","1125","moderate",1,0,1,2,966,NA,1,118,1,0,NA,10,10,10,10,10,10,100,FALSE,"Sheung Wan",TRUE
"44","New York","United States","Apartment","Entire home/apt","Real Bed","5","1125","strict_14_with_grace_period",1,2,2,4,220,NA,1,25,1,0,NA,10,8,10,10,10,10,100,FALSE,"Williamsburg",TRUE
"45","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","1","500","strict_14_with_grace_period",22,1,2,3,400,NA,1,NA,1,0,NA,8,9,9,9,10,9,83,FALSE,"Mong Kok",TRUE
"46","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","1","15","flexible",1,1,1,1,149,NA,2,30,1,0,NA,8,10,10,10,10,10,100,FALSE,"Tijuca",FALSE
"47","Sydney","Australia","House","Private room","Real Bed","3","365","strict_14_with_grace_period",8,1,2,2,64,0,3.5,30,1,0,NA,10,10,10,10,10,9,100,FALSE,"Coogee",TRUE
"48","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,1,2,4,264,527,1,26,1,53,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"49","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","4","1125","strict_14_with_grace_period",24,2,2,4,298,600,2,180,2,50,NA,9,10,10,10,10,9,92,TRUE,"Santa Teresa",TRUE
"50","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,2,2,2,380,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"51","Sydney","Australia","Apartment","Private room","Real Bed","1","1125","flexible",4,1,1,2,36,NA,1,NA,2,20,NA,10,10,9,9,10,9,95,FALSE,"",TRUE
"52","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","2","30","flexible",0,3,3,6,746,NA,3,373,4,187,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Recreio dos Bandeirantes",TRUE
"53","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","2","15","strict_14_with_grace_period",8,2,5,6,798,500,2,150,4,20,NA,10,9,10,10,10,10,100,FALSE,"",FALSE
"54","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,3,4,6,1999,NA,3,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"55","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","4","1125","moderate",1,1,1,1,71,NA,1,20,1,0,NA,8,8,8,8,8,8,80,FALSE,"",FALSE
